CustomerID,Name,Gender,Age,City,Signup_Date,Last_purchase_date,purchase_amount,feedback_score,email,Phone_number,Country,Days_Between,purchase_missing
0,Ankit,Female,36.0,Mumbai,2024-12-31,2025-08-13,4058.7846942777346,2.0,nan,,Canada,225.0,1
C2,Ravi,Female,45.0,Kolkata,,,2895.267476244072,1.0,nan,,Canada,,1
C4,Ankit,Male,44.0,Kolkata,,2025-09-13,2185.038031212068,3.0,nan,9316267914,USA,,1
5,Rahul,Male,45.0,Ahmedabad,2025-09-07,,3024.9269025159997,3.0,nan,9234603292,USA,,1
C6,Amit,Unknown,64.0,Mumbai,,,2267.7819859582933,5.0,nan,,UK,,1
7,Kiran,Unknown,42.0,Pune,,,2308.174417822451,3.0,nan,,Australia,,1
C9,Simran,Female,43.0,Pune,,,1563.6568281860377,1.0,nan,,India,,1
10,Ankit,Unknown,24.0,Chennai,,,775.9134355228073,1.0,nan,,Nan,,1
C12,Ravi,Male,44.0,Hyderabad,2025-05-29,2021-03-20,2712.5,3.0,nan,,UK,-1531.0,0
13,Rahul,Male,47.0,Bangalore,,,2822.0,1.0,user12@mail.com,,Australia,,0
14,Ravi,Unknown,44.0,Mumbai,2024-12-15,2022-03-26,1527.0556949960796,1.0,nan,,USA,-995.0,1
15,Kiran,Unknown,62.0,Unknown,2022-10-16,2025-12-04,1306.3534612986239,5.0,nan,9610475090,USA,1145.0,1
15,Unknown,Female,30.0,Pune,,,3438.089526009934,3.0,nan,,Canada,,1
17,Pooja,Male,44.0,Pune,2021-12-18,2022-11-11,509.03,5.0,nan,,India,328.0,0
18,Priya,Female,38.0,Ahmedabad,,2021-10-10,1582.43,3.0,nan,,UK,,0
19,Sneha,Unknown,38.0,Pune,2023-07-01,,1501.4226059972784,1.0,nan,,Nan,,1
20,Simran,Male,39.0,Pune,2021-07-21,2024-07-06,938.55,1.0,nan,9533545457,Canada,1081.0,0
C21,Unknown,Female,26.0,Mumbai,2021-06-28,,4271.469569982085,2.0,nan,9720985722,USA,,1
C22,Ravi,Male,45.0,Kolkata,,,2696.214414771778,3.0,user21@mail.com,9164267579,Nan,,1
23,Rahul,Male,40.0,Bangalore,2022-05-28,,3934.0575769347615,3.0,nan,,Australia,,1
24,Ankit,Female,38.0,Hyderabad,,,2825.45615894415,4.0,nan,,Australia,,1
26,Simran,Female,47.0,Kolkata,2025-07-17,2020-09-05,1250.98,3.0,nan,,UK,-1776.0,0
26,Kiran,Unknown,43.0,Kolkata,2024-05-28,2020-11-14,4772.57,4.0,nan,,UK,-1291.0,0
C28,Neha,Female,45.0,Ahmedabad,,2022-05-30,84.02,2.0,nan,9693394106,Australia,,0
C29,Unknown,Unknown,47.0,Hyderabad,,,3977.029618224551,2.0,user28@mail.com,,Nan,,1
31,Rahul,Female,47.0,Unknown,,2024-05-09,41.61,3.0,nan,,Canada,,0
C33,Ravi,Unknown,47.0,Chennai,2025-11-30,2024-01-23,4794.322473921982,4.0,nan,,Nan,-677.0,1
33,Unknown,Male,39.0,Kolkata,2023-04-16,2023-04-06,1513.9007494628408,3.0,nan,9281075045,Canada,-10.0,1
C35,Pooja,Male,43.0,Unknown,2023-05-31,,1380.12,3.0,nan,,India,,0
C36,Rahul,Male,45.0,Delhi,2024-09-26,,3603.017886635929,3.0,nan,,Australia,,1
37,Rahul,Male,43.0,Pune,,2025-05-18,239.37232718281393,1.0,user36@mail.com,9168733414,Nan,,1
38,Kiran,Female,42.0,Mumbai,,2025-12-03,3291.3817999753705,1.0,nan,,India,,1
39,Ankit,Male,38.0,Pune,2025-12-10,,870.32,1.0,nan,,UK,,0
40,Rahul,Male,44.0,Unknown,2024-06-26,,2005.0429343683195,1.0,nan,,India,,1
41,Ravi,Unknown,42.0,Ahmedabad,2023-08-01,,2444.0558654045035,1.0,nan,,Canada,,1
41,Simran,Female,45.0,Unknown,,,1007.7563877670141,1.0,user41@mail.com,,Canada,,1
C43,Kiran,Female,39.0,Unknown,,,1719.83,5.0,nan,,Australia,,0
43,Kiran,Female,50.0,Chennai,2024-11-13,,3622.4777921942305,1.0,nan,,Australia,,1
45,Neha,Female,39.0,Chennai,2022-07-12,,3631.99,1.0,nan,,Australia,,0
45,Neha,Female,67.0,Ahmedabad,,2022-07-01,1661.36,1.0,nan,,USA,,0
48,Unknown,Female,43.0,Pune,,2022-04-08,3186.175282361568,3.0,nan,,India,,1
C49,Sneha,Male,22.0,Mumbai,,2024-03-15,2923.594351263487,5.0,user48@mail.com,,Australia,,1
C50,Sneha,Female,38.0,Delhi,,,3841.35,1.0,nan,9125908338,Nan,,0
50,Unknown,Female,41.0,Kolkata,,,2244.820485934933,1.0,nan,,Canada,,1
C52,Unknown,Male,52.0,Unknown,,,1951.1186524951502,3.0,nan,9821999811,UK,,1
53,Rahul,Male,24.0,Unknown,,2024-06-14,3347.005811485862,3.0,user52@mail.com,9246223934,UK,,1
C54,Sneha,Female,39.0,Mumbai,2021-07-25,,3147.13,3.0,nan,,Australia,,0
55,Amit,Male,41.0,Pune,,,4911.38,1.0,nan,,Australia,,0
57,Ravi,Male,45.0,Hyderabad,,2021-07-28,3247.4611463014166,1.0,nan,,India,,1
57,Pooja,Female,45.0,Chennai,2023-09-24,,1037.687677868792,1.0,nan,9208493774,Canada,,1
C59,Simran,Female,39.0,Mumbai,,,3612.1836345223646,1.0,nan,,Canada,,1
61,Pooja,Female,59.0,Kolkata,,,2153.56807301894,1.0,nan,,Canada,,1
61,Unknown,Male,39.0,Kolkata,2024-12-04,2026-01-21,1207.1647251809468,4.0,nan,,Australia,413.0,1
63,Pooja,Unknown,41.0,Ahmedabad,,,176.23,1.0,user62@mail.com,,Nan,,0
65,Simran,Unknown,47.0,Delhi,,,940.07,1.0,nan,,USA,,0
67,Simran,Male,40.0,Ahmedabad,,,2461.600173808265,1.0,nan,9677889075,USA,,1
69,Rahul,Male,47.0,Hyderabad,2022-09-05,2022-11-18,1019.16,3.0,nan,9828355744,Nan,74.0,0
C70,Amit,Male,43.0,Delhi,2022-01-25,,2590.2154274073578,4.0,nan,,Canada,,1
C72,Sneha,Unknown,23.0,Mumbai,,2024-10-05,4370.541656107032,1.0,nan,,Australia,,1
73,Simran,Female,42.0,Bangalore,2023-09-22,2023-05-18,2788.5811684546943,1.0,user73@mail.com,,Canada,-127.0,1
75,Unknown,Male,68.0,Mumbai,2021-01-04,,3450.0094367465745,1.0,nan,,UK,,1
C76,Simran,Female,43.0,Hyderabad,,,1958.1,2.0,nan,,India,,0
76,Unknown,Unknown,47.0,Bangalore,2021-06-16,,2246.4755142942267,2.0,user76@mail.com,9610832582,UK,,1
78,Amit,Unknown,45.0,Unknown,2024-06-20,,2267.95,3.0,nan,,Nan,,0
79,Kiran,Female,38.0,Unknown,2020-11-11,2022-03-28,4747.2057716872205,1.0,nan,,India,502.0,1
79,Ankit,Unknown,45.0,Chennai,2021-11-12,,1517.55,1.0,user79@mail.com,,USA,,0
80,Rahul,Female,47.0,Delhi,,,607.0261445064662,1.0,nan,,UK,,1
82,Pooja,Male,46.0,Hyderabad,,,477.91,1.0,nan,,Australia,,0
83,Unknown,Male,47.0,Bangalore,2025-11-22,,1105.17,3.0,nan,,Australia,,0
83,Priya,Female,38.0,Ahmedabad,,,3720.97,2.0,nan,,Canada,,0
C85,Priya,Male,51.0,Delhi,,,220.1197354703777,3.0,nan,,USA,,1
86,Kiran,Female,47.0,Pune,,,4780.383418147278,3.0,nan,,UK,,1
87,Unknown,Male,40.0,Kolkata,2020-05-12,,55.22341151778028,1.0,user86@mail.com,,Canada,,1
88,Kiran,Male,41.0,Delhi,,,2733.74110973795,3.0,nan,9697738597,Australia,,1
91,Simran,Male,66.0,Unknown,,,828.0270339408032,1.0,user90@mail.com,,USA,,1
C92,Ankit,Unknown,40.0,Delhi,2025-07-21,,2589.13,3.0,nan,,UK,,0
